TIMESTAMP_x,Environment:Site Outdoor Air Drybulb Temperature [C](TimeStep),Environment:Site Outdoor Air Wetbulb Temperature [C](TimeStep),Environment:Site Outdoor Air Relative Humidity [%](TimeStep) 
 01/03  01:00:00,9,7.943305586,87
 01/03  01:15:00,9.25,8.183743059,87
 01/03  01:30:00,9.5,8.424167896,87
 01/03  01:45:00,9.75,8.664581979,87
 01/03  02:00:00,10,8.904986567,87
 01/03  02:15:00,10,9.033351028,88.5
 01/03  02:30:00,10,9.161181677,90
 01/03  02:45:00,10,9.288481913,91.5
 01/03  03:00:00,10,9.415255297,93
 01/03  03:15:00,10.25,9.532296952,91.5
 01/03  03:30:00,10.5,9.646545752,90
 01/03  03:45:00,10.75,9.757960237,88.5
 01/03  04:00:00,11,9.866495,87
 01/03  04:15:00,11,9.866495,87
 01/03  04:30:00,11,9.866495,87
 01/03  04:45:00,11,9.866495,87
 01/03  05:00:00,11,9.866495,87
 01/03  05:15:00,11,10.02159197,88.75
 01/03  05:30:00,11,10.17589296,90.5
 01/03  05:45:00,11,10.32940836,92.25
 01/03  06:00:00,11,10.4821486,94
 01/03  06:15:00,11.25,10.59582545,92.5
 01/03  06:30:00,11.5,10.70667207,91
 01/03  06:45:00,11.75,10.81464589,89.5
 01/03  07:00:00,12,10.91970849,88
 01/03  07:15:00,12,11.05691525,89.5
 01/03  07:30:00,12,11.19349476,91
 01/03  07:45:00,12,11.32944357,92.5
 01/03  08:00:00,12,11.46478209,94
 01/03  08:15:00,12.25,11.71043023,94
 01/03  08:30:00,12.5,11.95608849,94
 01/03  08:45:00,12.75,12.20173724,94
 01/03  09:00:00,13,12.44739412,94
 01/03  09:15:00,13.25,12.55212779,92.5
 01/03  09:30:00,13.5,12.65392124,91
 01/03  09:45:00,13.75,12.75273687,89.5
 01/03  10:00:00,14,12.84852183,88
 01/03  10:15:00,14.75,13.16793206,84
 01/03  10:30:00,15.5,13.46220925,80
 01/03  10:45:00,16.25,13.73015192,76
 01/03  11:00:00,17,13.97047874,72
 01/03  11:15:00,17.25,13.96672616,70
 01/03  11:30:00,17.5,13.95736111,68
 01/03  11:45:00,17.75,13.94223288,66
 01/03  12:00:00,18,13.92120765,64
 01/03  12:15:00,18.25,14.01783985,63
 01/03  12:30:00,18.5,14.11193377,62
 01/03  12:45:00,18.75,14.20344367,61
 01/03  13:00:00,19,14.29233068,60
 01/03  13:15:00,19.5,14.59371623,59
 01/03  13:30:00,20,14.89031406,58
 01/03  13:45:00,20.5,15.1820394,57
 01/03  14:00:00,21,15.46880557,56
 01/03  14:15:00,21,15.22407368,54.25
 01/03  14:30:00,21,14.97718699,52.5
 01/03  14:45:00,21,14.72812049,50.75
 01/03  15:00:00,21,14.4768344,49
 01/03  15:15:00,20.5,14.45560733,51.75
 01/03  15:30:00,20,14.41669755,54.5
 01/03  15:45:00,19.5,14.36085088,57.25
 01/03  16:00:00,19,14.28874753,60
 01/03  16:15:00,19,14.28874753,60
 01/03  16:30:00,19,14.28874753,60
 01/03  16:45:00,19,14.28874753,60
 01/03  17:00:00,19,14.28874753,60
 01/03  17:15:00,18.75,14.19997343,61
 01/03  17:30:00,18.5,14.10857245,62
 01/03  17:45:00,18.25,14.01459709,63
 01/03  18:00:00,18,13.91806555,64
 01/03  18:15:00,17.75,13.81826747,65
 01/03  18:30:00,17.5,13.71605413,66
 01/03  18:45:00,17.25,13.6114448,67
 01/03  19:00:00,17,13.50448809,68
 01/03  19:15:00,17,13.50448809,68
 01/03  19:30:00,17,13.50448809,68
 01/03  19:45:00,17,13.50448809,68
 01/03  20:00:00,17,13.50448809,68
 01/03  20:15:00,17,13.50448809,68
 01/03  20:30:00,17,13.50448809,68
 01/03  20:45:00,17,13.50448809,68
 01/03  21:00:00,17,13.50448809,68
 01/03  21:15:00,16.75,13.39552766,69
 01/03  21:30:00,16.5,13.28425865,70
 01/03  21:45:00,16.25,13.17070671,71
 01/03  22:00:00,16,13.05489872,72
 01/03  22:15:00,16,13.05489872,72
 01/03  22:30:00,16,13.05489872,72
 01/03  22:45:00,16,13.05489872,72
 01/03  23:00:00,16,13.05489872,72
 01/03  23:15:00,16.25,13.17039927,71
 01/03  23:30:00,16.5,13.28362558,70
 01/03  23:45:00,16.75,13.39454513,69
 01/03  24:00:00,17,13.50311769,68
 01/04  00:15:00,16.75,13.3938823,69
 01/04  00:30:00,16.5,13.28236182,70
 01/04  00:45:00,16.25,13.16857658,71
 01/04  01:00:00,16,13.05256048,72
 01/04  01:15:00,16,13.05226811,72
 01/04  01:30:00,16,13.05197487,72
 01/04  01:45:00,16,13.05168046,72
 01/04  02:00:00,16,13.05139208,72
 01/04  02:15:00,16,13.05139208,72
 01/04  02:30:00,16,13.05139208,72
 01/04  02:45:00,16,13.05139208,72
 01/04  03:00:00,16,13.05139208,72
 01/04  03:15:00,16,13.05139208,72
 01/04  03:30:00,16,13.05139208,72
 01/04  03:45:00,16,13.05139208,72
 01/04  04:00:00,16,13.05139208,72
 01/04  04:15:00,16,13.05139208,72
 01/04  04:30:00,16,13.05139208,72
 01/04  04:45:00,16,13.05139208,72
 01/04  05:00:00,16,13.05139208,72
 01/04  05:15:00,16,13.05109581,72
 01/04  05:30:00,16,13.05080561,72
 01/04  05:45:00,16,13.05051425,72
 01/04  06:00:00,16,13.0502146,72
 01/04  06:15:00,16.25,13.16613913,71
 01/04  06:30:00,16.5,13.27982848,70
 01/04  06:45:00,16.75,13.39124794,69
 01/04  07:00:00,17,13.50038518,68
 01/04  07:15:00,17,13.61656694,69
 01/04  07:30:00,17,13.73228427,70
 01/04  07:45:00,17,13.847526,71
 01/04  08:00:00,17,13.9623093,72
 01/04  08:15:00,17,13.96260517,72
 01/04  08:30:00,17,13.96289294,72
 01/04  08:45:00,17,13.96318681,72
 01/04  09:00:00,17,13.96347951,72
 01/04  09:15:00,17.25,14.07557101,71
 01/04  09:30:00,17.5,14.18537084,70
 01/04  09:45:00,17.75,14.29284707,69
 01/04  10:00:00,18,14.39796887,68
 01/04  10:15:00,18,14.39796887,68
 01/04  10:30:00,18,14.39796887,68
 01/04  10:45:00,18,14.39796887,68
 01/04  11:00:00,18,14.39796887,68
 01/04  11:15:00,18.25,14.50070474,67
 01/04  11:30:00,18.5,14.60100953,66
 01/04  11:45:00,18.75,14.69886606,65
 01/04  12:00:00,19,14.79422273,64
 01/04  12:15:00,19.5,14.97647394,62
 01/04  12:30:00,20,15.14819038,60
 01/04  12:45:00,20.5,15.30904352,58
 01/04  13:00:00,21,15.45868889,56
 01/04  13:15:00,21.25,15.6002933,55.5
 01/04  13:30:00,21.5,15.74063865,55
 01/04  13:45:00,21.75,15.87969982,54.5
 01/04  14:00:00,22,16.01747835,54
 01/04  14:15:00,22.25,16.19066798,53.75
 01/04  14:30:00,22.5,16.36325311,53.5
 01/04  14:45:00,22.75,16.53523662,53.25
 01/04  15:00:00,23,16.70662001,53
 01/04  15:15:00,22.75,16.49786497,53
 01/04  15:30:00,22.5,16.28912353,53
 01/04  15:45:00,22.25,16.08040026,53
 01/04  16:00:00,22,15.8716869,53
 01/04  16:15:00,21.75,15.91565832,54.75
 01/04  16:30:00,21.5,15.95348539,56.5
 01/04  16:45:00,21.25,15.98533267,58.25
 01/04  17:00:00,21,16.01134621,60
 01/04  17:15:00,20.75,15.93096032,61
 01/04  17:30:00,20.5,15.8478489,62
 01/04  17:45:00,20.25,15.76205947,63
 01/04  18:00:00,20,15.67362736,64
 01/04  18:15:00,19.5,15.36098088,65
 01/04  18:30:00,19,15.04388797,66
 01/04  18:45:00,18.5,14.7224085,67
 01/04  19:00:00,18,14.39660771,68
 01/04  19:15:00,18.25,14.62067126,68
 01/04  19:30:00,18.5,14.8447407,68
 01/04  19:45:00,18.75,15.06881466,68
 01/04  20:00:00,19,15.29289832,68
 01/04  20:15:00,17,13.90498082,71.5
 01/04  20:30:00,15,12.46075866,75
 01/04  20:45:00,13,10.96275944,78.5
 01/04  21:00:00,11,9.413300739,82
 01/04  21:15:00,10.75,9.288817437,83.25
 01/04  21:30:00,10.5,9.161914943,84.5
 01/04  21:45:00,10.25,9.032633892,85.75
 01/04  22:00:00,10,8.901006627,87
 01/04  22:15:00,9.75,8.660606798,87
 01/04  22:30:00,9.5,8.420199267,87
 01/04  22:45:00,9.25,8.179779198,87
 01/04  23:00:00,9,7.939349188,87
 01/04  23:15:00,8.75,7.821897909,88.5
 01/04  23:30:00,8.5,7.701709114,90
 01/04  23:45:00,8.25,7.578825622,91.5
 01/04  24:00:00,8,7.453277083,93
 01/05  00:15:00,8,7.453277083,93
 01/05  00:30:00,8,7.453277083,93
 01/05  00:45:00,8,7.453277083,93
 01/05  01:00:00,8,7.453277083,93
 01/05  01:15:00,8.25,7.698188333,93
 01/05  01:30:00,8.5,7.943090744,93
 01/05  01:45:00,8.75,8.187983349,93
 01/05  02:00:00,9,8.432873103,93
 01/05  02:15:00,8.75,8.18785269,93
 01/05  02:30:00,8.5,7.94282739,93
 01/05  02:45:00,8.25,7.697796272,93
 01/05  03:00:00,8,7.452757214,93
 01/05  03:15:00,8,7.452691444,93
 01/05  03:30:00,8,7.452624689,93
 01/05  03:45:00,8,7.452561517,93
 01/05  04:00:00,8,7.452497447,93
 01/05  04:15:00,8,7.452497447,93
 01/05  04:30:00,8,7.452497447,93
 01/05  04:45:00,8,7.452497447,93
 01/05  05:00:00,8,7.452497447,93
 01/05  05:15:00,8.5,7.902227116,92.5
 01/05  05:30:00,9,8.350398346,92
 01/05  05:45:00,9.5,8.797003422,91.5
 01/05  06:00:00,10,9.242035384,91
 01/05  06:15:00,10.5,9.663648582,90.25
 01/05  06:30:00,11,10.08281564,89.5
 01/05  06:45:00,11.5,10.49950958,88.75
 01/05  07:00:00,12,10.91371116,88
 01/05  07:15:00,12.5,11.39604048,88
 01/05  07:30:00,13,11.87836134,88
 01/05  07:45:00,13.5,12.36067347,88
 01/05  08:00:00,14,12.84298974,88
 01/05  08:15:00,14.75,13.16057128,84
 01/05  08:30:00,15.5,13.45301007,80
 01/05  08:45:00,16.25,13.71912915,76
 01/05  09:00:00,17,13.95762698,72
 01/05  09:15:00,17,13.95762698,72
 01/05  09:30:00,17,13.95762698,72
 01/05  09:45:00,17,13.95762698,72
 01/05  10:00:00,17,13.95762698,72
 01/05  10:15:00,17,13.95762698,72
 01/05  10:30:00,17,13.95762698,72
 01/05  10:45:00,17,13.95762698,72
 01/05  11:00:00,17,13.95762698,72
 01/05  11:15:00,18,14.3907834,68
 01/05  11:30:00,19,14.78554938,64
 01/05  11:45:00,20,15.1396563,60
 01/05  12:00:00,21,15.45056653,56
 01/05  12:15:00,20.75,15.37642505,57
 01/05  12:30:00,20.5,15.29948245,58
 01/05  12:45:00,20.25,15.21979849,59
 01/05  13:00:00,20,15.13740632,60
 01/05  13:15:00,17.75,13.86387324,65.5
 01/05  13:30:00,15.5,12.47923073,71
 01/05  13:45:00,13.25,10.99186958,76.5
 01/05  14:00:00,11,9.409035326,82
 01/05  14:15:00,10.5,9.047451027,83.25
 01/05  14:30:00,10,8.681432625,84.5
 01/05  14:45:00,9.5,8.311048302,85.75
 01/05  15:00:00,9,7.936359343,87
 01/05  15:15:00,9.05,8.005406743,87.25
